"Keyword","Trends","Impressions"
"roja directa en vivo fútbol","[15,37,28,22,27,29,66,27,33,38,47,69,37]","475"
"juegos para hoy","[21,26,24,23,33,42,41,55,65,62,45,40]","477"
"rojadirecta tv hd","[26,52,55,27,18,17,41,17,29,68,47,75,29]","501"
"tarjeta roja partidos de hoy","[18,52,31,38,29,51,59,20,14,28,31,90,47]","508"
"rojadirecta pl","[27,50,62,30,53,40,45,22,46,63,53,84,30]","605"
"tarjeta roja directa en vivo","[13,44,62,48,47,37,67,27,34,54,68,91,49]","641"
"rojadirecta en vivo fútbol gratis","[30,87,100,33,62,67,102,28,27,25,32,49,18]","660"
"rojadirectahd","[31,63,79,42,50,50,73,26,60,90,64,79,55]","762"
"partidos de hoy en vivo","[10,30,57,58,75,54,68,43,51,85,57,82,105]","775"
"rojadirectaenvivo","[24,74,117,59,76,78,63,35,40,47,59,90,52]","814"
"rojatv","[44,69,93,49,51,66,93,36,56,75,111,121,40]","904"
"partidos de hoy méxico","[2,25,60,126,116,79,68,33,84,86,42,66,126]","913"
"rojadirectaenvivo.pl","[48,137,160,93,109,58,39,26,48,89,64,59,32]","962"
"partidos para hoy","[21,66,107,62,56,54,72,59,80,95,90,81,125]","968"
"tudn deportes","[22,71,94,75,81,64,131,62,70,95,99,82,73]","1019"
"rojadirecta pirlo","[36,83,96,80,63,102,83,54,56,115,91,134,77]","1070"
"tarjeta roja pirlo tv","[55,116,113,63,66,84,85,61,84,101,135,195,91]","1249"
"la roja directa","[32,86,100,81,83,121,145,82,128,151,122,128,103]","1362"
"fútbol libre en vivo","[44,116,165,90,61,95,176,80,111,127,102,167,76]","1410"
"roja dirécta","[48,135,162,84,86,123,157,72,101,124,124,131,65]","1412"
"tarjeta roja tv en vivo","[37,121,124,54,81,97,212,132,134,141,158,167,83]","1541"
"rojadirecta tv en vivo","[48,116,153,71,70,137,199,67,100,149,158,174,116]","1558"
"partido de hoy","[21,60,108,87,94,99,141,127,169,184,117,195,186]","1588"
"fútbol hoy","[52,110,190,119,106,122,124,104,114,170,143,215,218]","1787"
"roja","[56,112,211,109,116,179,197,107,184,230,222,225,191]","2139"
"tudn en vivo","[10,218,191,161,63,110,313,169,150,247,254,158,115]","2159"
"tdn","[12,129,124,103,110,164,389,205,172,238,222,190,154]","2212"
"rojadirecta pirlo tv","[72,173,201,131,113,203,212,119,132,305,208,281,102]","2252"
"tarjeta roja fútbol en vivo","[48,167,182,110,104,164,289,94,161,210,298,320,138]","2285"
"pirlo tv hd","[57,183,207,125,245,172,215,160,148,181,248,299,176]","2416"
"tudn en vivo gratis","[28,124,294,136,109,156,354,185,160,385,408,240,183]","2762"
"pirlo tv rojadirecta","[92,186,229,132,189,191,204,124,148,172,409,442,258]","2776"
"futbol en vivo","[55,215,303,192,228,272,356,174,175,260,235,249,204]","2918"
"pirlo tv en vivo","[41,293,305,164,256,239,317,157,218,238,272,362,189]","3051"
"rojadirectatv","[73,182,260,148,152,189,327,129,187,305,291,543,283]","3069"
"partidos hoy","[44,125,246,172,173,241,267,217,254,299,282,289,474]","3083"
"roja directa en vivo fútbol gratis","[73,191,249,132,159,300,369,145,210,319,363,493,220]","3223"
"libre futbol","[76,235,354,273,122,156,375,251,285,262,395,420,226]","3430"
"roja directa tv","[73,222,338,183,180,261,361,180,246,374,386,442,208]","3454"
"futbol hoy","[112,251,273,253,241,309,335,251,329,389,273,343,434]","3793"
"roja tv","[124,274,436,269,256,324,468,253,335,400,417,480,236]","4272"
"tarjetaroja","[76,260,352,254,217,375,538,249,251,419,472,500,322]","4285"
"fútbol en vivo","[112,457,538,260,227,382,556,214,261,371,435,439,305]","4557"
"partidos en vivo","[92,288,368,200,238,388,671,271,313,471,514,445,347]","4606"
"roja directa partidos hoy","[200,478,500,327,362,676,768,360,446,769,780,939,455]","7060"
"tarjeta roja directa","[232,694,850,440,396,691,863,412,430,715,852,902,494]","7971"
"pirlo tv tarjeta roja","[263,881,888,581,632,990,1173,610,762,1132,1131,1257,633]","10933"
"tudn","[168,526,702,523,649,710,1830,1078,900,1450,1435,1161,1039]","12171"
"rojadirecta en vivo","[427,1029,1072,607,708,1102,1601,662,886,1786,1714,2020,1036]","14650"
"tarjeta roja en vivo","[372,1105,1303,745,862,1169,2035,781,1071,1618,1497,1931,852]","15341"
"futbol","[502,804,1529,1567,1543,1539,1922,1654,1837,1995,1890,1621,1744]","20147"
"pirlotv","[441,1569,2674,1868,1792,2033,2729,1633,2041,2858,3295,3499,1919]","28351"
"partidos de hoy","[203,666,1231,4227,4931,2713,2846,1036,2309,2797,1479,2166,5717]","32321"
"futbol libre tv","[895,2344,3769,2185,1860,2266,3696,2001,2688,3349,3710,4286,2422]","35471"
"deportes","[267,569,962,865,829,858,999,939,5308,12312,6350,4053,3270]","37581"
"tarjeta roja tv","[1059,2842,4044,2090,2037,2747,4586,2054,2782,4018,4338,4563,2350]","39510"
"fútbol libre tv","[1236,3467,4959,2452,1931,2419,4427,2187,3274,3379,3616,4116,2129]","39592"
"rojadirecta tv","[1848,5854,10357,4566,4739,6931,9706,3906,5991,8110,10673,8505,5166]","86352"
"tarjeta roja","[2168,6266,9103,5683,5933,7417,10811,5320,6482,9540,10836,11506,5995]","97060"
"roja directa","[1590,5581,8839,6463,6312,7645,9651,5665,6899,10307,12461,12593,7474]","101480"
"pirlo tv","[3560,9018,14141,9131,7877,10329,13885,8002,10624,13837,15985,15625,8687]","140701"
"futbol libre","[3715,12928,21953,10130,9280,11961,28794,17250,20228,28813,29698,37274,17248]","249272"
